Query,MapReduce 1,MapReduce 2,MapReduce 3,MapReduce 4,MapReduce 5,Sum,Average
"SELECT Year, avg((CarrierDelay / ArrDelay) * 100) FROM DelayedFlights GROUP BY Year ORDER BY Year",18.896387100219727,1.382359266281128,1.1540601253509521,5.3663554191589355,1.4222478866577148,28.221409797668457,5.644281959533691
"SELECT Year, avg((NASDelay / ArrDelay) * 100) FROM DelayedFlights GROUP BY Year ORDER BY Year",1.332489013671875,1.298875093460083,5.039513111114502,1.699652910232544,1.2254953384399414,10.596025466918945,2.119205093383789
"SELECT Year, avg((WeatherDelay / ArrDelay) * 100) FROM DelayedFlights GROUP BY Year ORDER BY Year",1.420506477355957,6.052795171737671,1.34431791305542,1.3526630401611328,1.5721440315246582,11.742426633834839,2.348485326766968
"SELECT Year, avg((LateAircraftDelay / ArrDelay) * 100) FROM DelayedFlights GROUP BY Year ORDER BY Year",1.312654733657837,1.3409738540649414,1.4468789100646973,1.7346174716949463,5.284090042114258,11.11921501159668,2.223843002319336
"SELECT Year, avg((SecurityDelay / ArrDelay) * 100) FROM DelayedFlights GROUP BY Year ORDER BY Year",5.398388385772705,1.3738422393798828,1.284719467163086,4.730525255203247,1.914947748184204,14.702423095703125,2.940484619140625
SUM,28.3604257106781,11.448845624923706,10.269489526748657,14.883814096450806,11.418925046920776,76.38150000572205,15.276300001144408
